Date,Open,High,Low,Close,Volume,Stock
2006-07-18,0.1956,0.2311,0.1956,0.2276,108856600.0,WELLCAT
2006-07-19,0.2311,0.2329,0.2098,0.2151,24898500.0,WELLCAT
2006-07-20,0.2187,0.2204,0.2133,0.2133,6036700.0,WELLCAT
2006-07-21,0.2133,0.2204,0.2133,0.2151,4100600.0,WELLCAT
2006-07-24,0.2169,0.2204,0.2151,0.2169,6167800.0,WELLCAT
2006-07-25,0.2187,0.24,0.2187,0.2329,12534200.0,WELLCAT
2006-07-26,0.2347,0.2347,0.2222,0.2276,4350900.0,WELLCAT
2006-07-27,0.2258,0.2453,0.2258,0.2436,6481100.0,WELLCAT
2006-07-28,0.2436,0.2542,0.24,0.2471,7863200.0,WELLCAT
2006-07-31,0.2489,0.2542,0.2453,0.2471,2362500.0,WELLCAT
2006-01-08,0.2471,0.2542,0.2436,0.2489,2183100.0,WELLCAT
2006-02-08,0.2471,0.2542,0.2471,0.2507,1310100.0,WELLCAT
2006-03-08,0.2507,0.2578,0.2489,0.2542,4059600.0,WELLCAT
2006-04-08,0.2524,0.2613,0.2524,0.256,4584400.0,WELLCAT
2006-07-08,0.2578,0.2613,0.2507,0.256,2257300.0,WELLCAT
2006-08-08,0.2524,0.2542,0.2507,0.2507,643500.0,WELLCAT
2006-09-08,0.2507,0.2507,0.2453,0.2471,2255600.0,WELLCAT
2006-10-08,0.2489,0.2507,0.2418,0.2489,1989000.0,WELLCAT
2006-11-08,0.2471,0.2507,0.2471,0.2507,2053100.0,WELLCAT
2006-08-14,0.2524,0.2596,0.2524,0.2578,3096000.0,WELLCAT
2006-08-15,0.256,0.2844,0.256,0.2827,7168500.0,WELLCAT
2006-08-16,0.288,0.2898,0.2827,0.2862,3301900.0,WELLCAT
2006-08-17,0.288,0.2916,0.2791,0.288,3168600.0,WELLCAT
2006-08-18,0.2862,0.2951,0.2844,0.288,1991200.0,WELLCAT
2006-08-21,0.2916,0.3147,0.2916,0.3058,10116600.0,WELLCAT
2006-08-22,0.3058,0.3147,0.3058,0.3129,4193400.0,WELLCAT
2006-08-23,0.3111,0.3129,0.3076,0.3129,1237500.0,WELLCAT
2006-08-24,0.3076,0.3111,0.2969,0.3076,1652600.0,WELLCAT
2006-08-25,0.3058,0.3111,0.2987,0.3111,634500.0,WELLCAT
2006-08-28,0.3111,0.3111,0.2933,0.2933,1143600.0,WELLCAT
2006-08-29,0.2933,0.2969,0.2862,0.2951,641200.0,WELLCAT
2006-08-30,0.2951,0.3022,0.2951,0.3022,1141900.0,WELLCAT
2006-01-09,0.2987,0.2987,0.288,0.2969,259300.0,WELLCAT
2006-04-09,0.2916,0.2951,0.2916,0.2951,127100.0,WELLCAT
2006-05-09,0.2987,0.2987,0.2933,0.2969,295300.0,WELLCAT
2006-06-09,0.2844,0.2844,0.2773,0.2773,138900.0,WELLCAT
2006-07-09,0.2791,0.2809,0.2773,0.2773,455600.0,WELLCAT
2006-08-09,0.2791,0.2791,0.2773,0.2773,200200.0,WELLCAT
2006-11-09,0.2773,0.2791,0.2773,0.2773,257600.0,WELLCAT
2006-12-09,0.2773,0.2809,0.272,0.2809,222200.0,WELLCAT
2006-09-13,0.2844,0.2844,0.2809,0.2809,244700.0,WELLCAT
2006-09-14,0.2862,0.2916,0.2844,0.2916,193500.0,WELLCAT
2006-09-15,0.2933,0.2933,0.2933,0.2933,180000.0,WELLCAT
2006-09-18,0.3004,0.3004,0.2933,0.2951,426400.0,WELLCAT
2006-09-19,0.2916,0.2933,0.2898,0.2933,149100.0,WELLCAT
2006-09-20,0.2933,0.2933,0.2933,0.2933,315600.0,WELLCAT
2006-09-21,0.2933,0.2933,0.2916,0.2933,241900.0,WELLCAT
2006-09-22,0.2933,0.2933,0.2916,0.2933,168200.0,WELLCAT
2006-09-25,0.2933,0.2951,0.2933,0.2951,523700.0,WELLCAT
2006-09-26,0.2951,0.304,0.2951,0.304,248100.0,WELLCAT
2006-09-27,0.304,0.3093,0.304,0.3076,581100.0,WELLCAT
2006-09-28,0.3076,0.3218,0.3076,0.32,1511400.0,WELLCAT
2006-09-29,0.32,0.3484,0.32,0.3484,4072500.0,WELLCAT
2006-02-10,0.3484,0.3627,0.3431,0.3609,2727600.0,WELLCAT
2006-03-10,0.3627,0.3644,0.352,0.3538,1027100.0,WELLCAT
2006-04-10,0.3538,0.3627,0.3449,0.3627,1397800.0,WELLCAT
2006-05-10,0.3627,0.3822,0.3627,0.3804,2106600.0,WELLCAT
2006-06-10,0.3822,0.4071,0.3822,0.4053,2088000.0,WELLCAT
2006-09-10,0.4089,0.416,0.3911,0.3982,2175700.0,WELLCAT
2006-10-10,0.3964,0.4089,0.3964,0.4071,860600.0,WELLCAT
2006-11-10,0.4071,0.4444,0.4071,0.4213,3872200.0,WELLCAT
2006-12-10,0.4267,0.4373,0.4249,0.4356,1326900.0,WELLCAT
2006-10-13,0.4267,0.4267,0.416,0.416,1325800.0,WELLCAT
2006-10-16,0.4107,0.4107,0.3911,0.3911,2673600.0,WELLCAT
2006-10-17,0.3929,0.3964,0.3644,0.3716,2797900.0,WELLCAT
2006-10-18,0.3716,0.3982,0.3662,0.3822,1886600.0,WELLCAT
2006-10-19,0.384,0.3858,0.3716,0.3716,470200.0,WELLCAT
